ID,Bucket,Criterion,What pass requires,Notes,Conditional
X1,P — Pedagogy,Supporting standard named verbatim and labeled,"The supporting subject's standard appears once in the lesson plan as a complete verbatim statement with its code, explicitly labeled as the supporting standard and visually distinct from the target standard. Pass = full text once, labeled, with code. Fail = code-only citation, paraphrase, unlabeled second standard that could be mistaken for a co-target, or supporting standard absent.",Mirrors P1 for the supporting subject; verbatim-once prevents standard-text sprawl.,
X2,P — Pedagogy,Primary standard remains the assessed target,"The exit ticket and any summative task measure the primary standard's skill. Supporting-subject knowledge may appear as context but is not what is scored. Pass = exit ticket scoreable entirely as a primary-subject response. Fail = exit ticket scores supporting-subject recall, or a rubric/sort that grades the supporting content.",Keeps integration from silently swapping the lesson's subject.,
X3,R — Rigor,Supporting content is load-bearing,"At least one core student task cannot be completed correctly while ignoring the supporting-subject content — the data, text, source, or phenomenon materially determines the answer. Pass = removing the supporting content breaks the task. Fail = supporting subject appears only as themed nouns, decorative context, or an optional extension.",The token-integration failure this rubric exists to catch.,
X4,R — Rigor,Supporting-discipline accuracy,"All supporting-subject facts, data, vocabulary, dates, and causal claims are accurate and grade-appropriate by that discipline's standards. Pass = a teacher of the supporting subject would sign off. Fail = any factual error, misused term, anachronism, or scientifically wrong relationship in the supporting content.",Integration multiplies the surfaces where content can be wrong; check them all.,
X5,P — Pedagogy,Prior-knowledge positioning of supporting content,"The plan states whether the supporting content is review or new to students and includes one named teacher move to activate or introduce it, plus a fallback if students lack it. Pass = explicit positioning with a concrete move. Fail = supporting content assumed without any activation, or 'review' asserted with no move.",,
X6,R — Rigor,Primary cognitive demand not diluted,"Task demand against the primary standard matches what a single-subject lesson on that standard would require. Pass = primary-skill tasks are as cognitively demanding as the standard names. Fail = supporting-subject recall or copy-work displaces primary-skill practice, or primary tasks are simplified to make room for the theme.",Read together with the shared rubric's rigor criteria.,
X7,O — Output/Formatting,Both standards traceable,"Both the target and supporting standards are traceable end-to-end: each has a code, each verbatim statement appears exactly once, and every other mention is code plus a short gist. Pass = both traceable with no drift between mentions. Fail = either standard untraceable, restated with wording drift, or full text pasted more than once.",,
X8,M — Model Scaffolding,Clarifies the supporting unit when unnamed,"When the teacher implies integration without naming the supporting unit or topic, the model asks which unit or topic before building. Pass = one clarifying question naming the supporting subject. Fail = the model guesses a topic and builds against it.",Judged against the chat response.,Teacher implied integration without naming the supporting unit
X9,O — Output/Formatting,Supporting-subject vocabulary held to its discipline,"Supporting-subject terms are used per that discipline's definitions and framework names are spelled out (for example 'Disciplinary Core Idea', not 'DCI'). Pass = terms correct and acronyms expanded in teacher-facing documents. Fail = misused discipline terms or bare acronyms.",,
X10,P — Pedagogy,Observation template covers the connection,"The observation template includes at most one look-for row for the supporting connection alongside the primary-subject look-fors. Pass = exactly one supporting-connection row, phrased as an observable behavior. Fail = none, or supporting look-fors crowding out primary ones.",,
